id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8387943,Appartement dans les Batignolles,11036483,Jean-Baptiste,,Batignolles-Monceau,48.88462288788174,2.3236680838178825,Entire home/apt,100,1,1,2015-09-18,0.10,1,306
6968529,duplex in 17e arrondissement,35987401,JuYoung,,Batignolles-Monceau,48.88216375776191,2.31850697943195,Entire home/apt,85,1,1,2015-09-06,0.10,1,0
4717808,2pers - 10 min Champs-Elysées  25m2,23804395,Catherine,,Batignolles-Monceau,48.88032811195714,2.293378284699085,Entire home/apt,65,3,21,2016-06-22,1.15,1,334
6287908,Charmant 2 pièce Batignolles 42 m2,6891440,Sacha,,Batignolles-Monceau,48.886823197229305,2.3151349553336695,Entire home/apt,70,1,1,2015-05-17,0.07,1,365
2614924,PARIS Champs-Elysees Montmartre,13390830,Laury,,Batignolles-Monceau,48.88507792522856,2.3185379627498928,Entire home/apt,45,3,43,2016-03-05,1.55,1,302
13635194,Appartement de 38m2 dans le 17ème,42190010,Camille,,Batignolles-Monceau,48.896254512300445,2.317228418986843,Entire home/apt,50,1,1,2016-06-25,1,1,358
1302438,Cosy studio 430 sq ft  in Paris 17,7081540,Camille,,Batignolles-Monceau,48.888438185075444,2.3130106220151965,Entire home/apt,44,2,50,2016-06-27,1.36,1,283
9294790,Happy studio,6173826,Sandra,,Batignolles-Monceau,48.893081437137376,2.320974650248247,Entire home/apt,40,1,9,2016-06-20,1.17,1,365
1166136,Apartment heart of Batignolles,6386422,Louis,,Batignolles-Monceau,48.88485421122435,2.3182121523942865,Entire home/apt,75,1,44,2016-06-05,1.44,1,334
11782361,Charming studio Ternes,11480181,Mehdi,,Batignolles-Monceau,48.88121645756258,2.2950825876060548,Entire home/apt,42,1,0,,,1,0
8109812,Nice Studio Paris Porte Maillot,42811622,Marie,,Batignolles-Monceau,48.882836883489155,2.2869695767229,Entire home/apt,62,2,1,2015-09-28,0.11,1,0
12339831,Master Bedroom near Arc de Triomphe,20253246,Maxime,,Batignolles-Monceau,48.88332404278372,2.2857054632645517,Private room,50,1,2,2016-05-11,1.00,1,245
